"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC"
"BT1,BT2","2","BH-18650-A1AJ005","","","","lcsc_footprints:C5290175_BAT-TH_BH-18650-A1AJ006","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2211291730_MYOUNG-BH-18650-A1AJ005_C5290176.pdf","C5290175"
"C2,C3,C7,C14,C17","5","C1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C4,C5,C11,C12,C13,C15,C16,C20,C21,C24,C25,C26,C27","13","C22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C6,C8","2","C0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C9","1","C4.7nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C10","1","C200pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C18,C19,C22,C23","4","C100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"D1,D2","2","SK54C_C5449119","","","","Diode_SMD:D_SMC_Handsoldering","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304171800_MSKSEMI-SK54C_C5449119.pdf","C5449119"
"D1,D3","2","SMAJ13A","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","C153724"
"J1","1","USB_A","","","","lcsc_footprints:C456018_USB-A-TH_AF-WJDG","","C456018"
"J2","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","C2858270"
"L1","1","L3.3uH","","","","Inductor_SMD:L_Bourns_SRN8040TA","","C41407113"
"L2","1","L33uH","","","","Inductor_SMD:L_APV_APH0630","","C49450417"
"Q1,Q2","2","8205S_C2762930","","","","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","https://www.lcsc.com/datasheet/lcsc_datasheet_2401050929_JSMSEMI-8205S_C2762930.pdf","C2762930"
"Q3,Q6","2","AO4435","","","","danad_footprints:SOIC-8_3.9x4.9mm_P1.27mm_AO4435_HandSolder","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","C5224296"
"Q4","1","BSS138","","","","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","C5224263"
"R3","1","R470","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R4","1","R2k","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R5","1","R10","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R6","1","R51k","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R7,R16","2","R24k","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R8,R18","2","R100k","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R9","1","R33K","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R10","1","R750K","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R11","1","R2K","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R12,R13","2","R5k1","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R14,R17","2","R10k","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R15","1","R1k","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R19","1","R120","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"R20","1","R30m","","","","Resistor_SMD:R_0508_1220Metric_Pad1.12x2.15mm_HandSolder","",""
"U1","1","DW01A_C2927799","","","","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2201121330_YONGYUTAI-DW01A_C2927799.pdf","C2927799"
"U2","1","AP2112K-3.3TRG1(MS)","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2404151058_MSKSEMI-AP2112K-3-3TRG1-MS_C22365427.pdf","C22365427"
"U3","1","FP6296XR-G1","","","","danad_footprints:SOP-8-1EP_4.57x4.57mm_P1.27mm_EP4.57x4.45mm_ThermalVias_HandSolder","https://www.lcsc.com/datasheet/lcsc_datasheet_1810182103_Advanced-Analog-Technology-FP6296XR-G1_C133888.pdf","C133888"
"U4","1","IP2161","","","","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","https://www.lcsc.com/datasheet/lcsc_datasheet_1810010615_INJOINIC-IP2161_C185471.pdf","C185471"
"U5,U6","2","SRV05-4","","","","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","http://www.onsemi.com/pub/Collateral/SRV05-4-D.PDF","C20615829"
"U7","1","CN3791","","","","danad_footprints:SSOP-10_3.9x4.9mm_P1.00mm_Handsolder","https://www.lcsc.com/datasheet/lcsc_datasheet_1810010241_ShangHai-Consonance-Elec-CN3791_C154992.pdf","C154992"
"U8","1","CH224K","","","","danad_footprints:SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm_HandSolder","https://www.wch.cn/downloads/file/301.html","C970725"
